"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g00002","scaffold_1",10357,16651,0.13,"-",".","Disease resistance protein-like","ahrd-qc=***",6294,"AT5G17680"
"g00003","scaffold_1",16806,18993,0.18,"+",".","Trna (Guanine-n-)-methyltransferase-like","ahrd-qc=***",2187,"AT5G17660"
"g00004","scaffold_1",19326,21266,0.11,"+",".","Unknown protein","",1940,"AT5G17650"
"g00005","scaffold_1",28656,31106,0.3,"+",".","Nuclear factor 1 A-type isoform 2","ahrd-qc=***",2450,"AT5G17640"
"g00006","scaffold_1",31127,32681,0.33,"-",".","Glucose-6-phosphate/phosphate translocator 2","ahrd-qc=***",1554,"AT5G17630"
"g00007","scaffold_1",33436,36480,0.06,"+",".","Nuclear matrix protein 1","ahrd-qc=***",3044,"AT5G17620"
"g00008","scaffold_1",37132,38371,0.4,"-",".","Unknown protein","",1239,"AT5G17610"
"g00009","scaffold_1",42116,43450,0.28,"+",".","RING-H2 finger protein ATL52","ahrd-qc=***",1334,"AT5G17600"
"g00010","scaffold_1",45426,46510,0.04,"+",".","Unknown protein","",1084,"AT5G17590"
"g00011","scaffold_1",46517,50801,0.81,"-",".","BTB/POZ domain-containing protein At5g17580","ahrd-qc=***",4284,"AT5G17580"
"g00012","scaffold_1",54914,56371,0.25,"-",".","Protein BOLA4%2C chloroplastic/mitochondrial","ahrd-qc=***",1457,"AT5G17560"
"g00013","scaffold_1",56586,58337,0.4,"+",".","Peroxisome biogenesis protein 19-2","ahrd-qc=***",1751,"AT5G17550"
"g00014","scaffold_1",59516,61206,0.54,"+",".","Benzyl alcohol O-benzoyltransferase","ahrd-qc=***",1690,"AT5G17540"
"g00015","scaffold_1",61208,65681,0.31,"-",".","Phosphoglucosamine mutase family protein","ahrd-qc=***",4473,"AT5G17530"
"g00016","scaffold_1",66256,68957,0.32,"+",".","Maltose excess protein 1%2C chloroplastic","ahrd-qc=***",2701,"AT5G17520"
"g00017","scaffold_1",69196,71580,0.24,"+",".","Glutamine-rich protein","ahrd-qc=***",2384,"AT5G17510"
"g00018","scaffold_1",71787,74451,0.14,"-",".","Glycosyl hydrolase family 5 protein","ahrd-qc=***",2664,"AT5G17500"
"g00019","scaffold_1",76816,78610,0.12,"+",".","DELLA protein RGL3","ahrd-qc=***",1794,"AT5G17490"
"g00022","scaffold_1",90626,91253,0.28,"+",".","Calmodulin-like protein 1","ahrd-qc=***",627,"AT5G17470"
"g00023","scaffold_1",92166,92737,0.56,"+",".","Unknown protein","",571,NA
