"","Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","g00004","scaffold_1",19326,21266,0.11,"+",".","Unknown protein","",1940,"AT5G17650",13.0144176234505,-7.27149385704467,1.30852251354847,-5.5570261739905,2.74409625226585e-08,6.61430001554801e-07
"2","g00033","scaffold_1",133546,136724,0.29,"+",".","DDB1-and CUL4-associated factor 4","ahrd-qc=***",3178,"AT5G17370",92.7952510869279,0.926670938606162,0.299135536502425,3.09782966424202,0.00194943441327818,0.0151487173422038
"3","g00038","scaffold_1",147637,151531,0.24,"-",".","Glutamate decarboxylase 1","ahrd-qc=***",3894,"AT5G17330",9762.99154342386,-0.612588535823918,0.144106346941868,-4.25094764265334,2.12867930119897e-05,0.000293442619764865
"4","g00042","scaffold_1",192238,192848,0.2,"-",".","UPF0651 protein YPL107W%2C mitochondrial","ahrd-qc=*-*",610,"AT5G17280",128.152163706377,-1.38535509553823,0.250098665212429,-5.5392342632518,3.03797039957524e-08,7.24607920780816e-07
"5","g00083","scaffold_1",363263,366570,0.49,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3307,"AT5G16860",59.1411723376617,1.76437292027405,0.321184976785308,5.49332331148672,3.94439721077596e-08,9.25844853253417e-07
"6","g00088","scaffold_1",385775,388845,0.3,"+",".","ATP binding protein","ahrd-qc=***",3070,"AT5G16810",72.9445298875099,-2.0750571824105,0.533374290883533,-3.89043344960098,0.000100065318505177,0.00117383776153899
"7","g00114","scaffold_1",545312,548256,0.55,"+",".","Glutamine synthetase","ahrd-qc=***",2944,"AT5G16570",564.779685600081,1.57323119188114,0.427881558260102,3.67679130243048,0.000236186113706879,0.00248277417894135
"8","g00135","scaffold_1",635462,637134,0.12,"+",".","Thioredoxin F2%2C chloroplastic","ahrd-qc=***",1672,"AT5G16400",68.1333918993884,-1.02901735315846,0.34465625810139,-2.98563374077992,0.00282991361533171,0.0206719628634362
"9","g00137","scaffold_1",640332,641580,0.34,"+",".","Gb|AAF02163.1","ahrd-qc=***",1248,"AT5G16380",653.938454495597,1.37685367279838,0.173313660708617,7.94428821807192,1.95308999179727e-15,1.32094161925006e-13
"10","g00139","scaffold_1",644872,646078,0.15,"+",".","Gb|AAF32477.1","ahrd-qc=***",1206,NA,23.2483580000682,1.69472946824194,0.470665130580612,3.60071175476993,0.000317347247151887,0.00321472633247281
"11","g00140","scaffold_1",646182,648162,0.24,"+",".","Acyl-CoA synthetase","ahrd-qc=***",1980,"AT5G16370",83.4003300208584,1.18155295355366,0.405794965531921,2.91169938987504,0.0035946840024064,0.0252584180869172
"12","g00143","scaffold_1",665442,669182,0.07,"+",".","NC domain-containing family protein","ahrd-qc=***",3740,"AT5G16330",423.476578261888,0.628713405437266,0.209162408646406,3.00586233207956,0.00264828868300322,0.0196020234908309
"13","g00162","scaffold_1",786980,791451,0.23,"+",".","Ubiquitin receptor RAD23c","ahrd-qc=*-*",4471,"AT5G16100",67.0397750063062,8.43938798938019,1.22361453551625,6.89709687521776,5.3075989927526e-12,2.29617713665773e-10
"14","g00163","scaffold_1",794320,795693,0.32,"+",".","Acetyl esterase","ahrd-qc=***",1373,"AT5G16080",72.4111305354902,-2.14402530780324,0.762538905155871,-2.81169300780132,0.00492815140441049,0.0326703236563984
"15","g00167","scaffold_1",804950,807681,0.15,"+",".","Regulator of chromosome condensation (RCC1) family protein","ahrd-qc=***",2731,"AT5G16040",268.662404385479,-0.735259403885364,0.182716161991969,-4.02405236553558,5.72051886779e-05,0.000713061398065508
"16","g00172","scaffold_1",826727,827515,0.21,"-",".","Non-LTR retroelement reverse transcriptase-like","ahrd-qc=*-*",788,NA,3.18215961153804,-5.24193311678675,1.65246088112224,-3.1721980088429,0.00151289815711125,0.0123092219708935
"17","g00196","scaffold_1",931553,932867,0.07,"-",".","30S ribosomal protein 3-2%2C chloroplastic","ahrd-qc=***",1314,"AT5G15760",49.927780204783,1.22596128636022,0.339111704050189,3.6152137237315,0.000300099938766067,0.00306475688380878
"18","g00212","scaffold_1",992677,993487,0.45,"-",".","Protein SPIRAL1-like 4","ahrd-qc=***",810,"AT5G15600",63.1537777896788,-0.954489709812392,0.355087653462782,-2.68803970091412,0.00718728508338693,0.0442995227984143
"19","g00228","scaffold_1",1067892,1071117,0.13,"-",".","At5g15430","ahrd-qc=***",3225,"AT5G15430",101.300649825349,-2.57454857435377,0.296431468423145,-8.68513922644238,3.78278773931878e-18,3.50249852232424e-16
"20","g00244","scaffold_1",1144429,1148613,0.02,"+",".","Myosin heavy chain-like protein","ahrd-qc=***",4184,NA,29.640868818374,3.71563904899151,0.597147742292166,6.2223111398344,4.89884306486588e-10,1.55204255282342e-08
"21","g00268","scaffold_1",1256665,1265900,0.36,"-",".","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase","ahrd-qc=***",9235,"AT5G15070",167.985116820067,0.673218355740567,0.242518530127384,2.77594604992433,0.00550413409635873,0.0357426844580314
"22","g00285","scaffold_1",1341820,1344130,0.29,"-",".","Senescence-associated gene 101","ahrd-qc=***",2310,"AT5G14930",505.304313560156,1.03097195728164,0.24206093783768,4.25914220812027,2.05212888952445e-05,0.00028401554382762
"23","g00286","scaffold_1",1344755,1346110,0.42,"-",".","Gibberellin-regulated protein 14","ahrd-qc=*-*",1355,"AT5G14920",345.235242003795,-3.61890267243102,0.361917325107463,-9.99925237443791,1.53551907687832e-23,2.55160560775038e-21
"24","g00296","scaffold_1",1388740,1390100,0.36,"-",".","Transcription factor bHLH11","ahrd-qc=***",1360,"AT4G36060",76.9954964655502,1.25676316872372,0.301654986382204,4.16622706555024,3.0968225748697e-05,0.000415093333593112
"25","g00311","scaffold_1",1449245,1451202,0.68,"-",".","F-box protein At4g35930","ahrd-qc=***",1957,"AT4G35930",97.2519256876789,-0.85735813733032,0.261393095622737,-3.27995709025049,0.00103822876190424,0.00896463733437759
"26","g00313","scaffold_1",1464987,1468273,0.29,"+",".","Protein MID1-COMPLEMENTING ACTIVITY 1","ahrd-qc=***",3286,"AT4G35920",603.92764685158,-0.712729730077093,0.249599713196025,-2.85549098174382,0.00429703432004298,0.029211916867656
"27","g00314","scaffold_1",1468577,1471411,0.3,"+",".","Cytoplasmic tRNA 2-thiolation protein 2","ahrd-qc=***",2834,"AT4G35910",379.438043443129,0.578854111826459,0.183839668456978,3.14868992467707,0.00164004112905041,0.0131728271479298
"28","g00344","scaffold_1",1585842,1587346,0.15,"+",".","Unknown protein","",1504,NA,2149.13390795764,-1.31798966226053,0.28079299824793,-4.69381241870138,2.68159942654896e-06,4.50982614210006e-05
"29","g00427","scaffold_1",1977925,1982114,0.4,"+",".","Beta-galactosidase 11","ahrd-qc=***",4189,"AT4G35010",4.1373252404502,5.38500857176754,1.53722086845497,3.50308058020309,0.000459910310620312,0.00445160691683543
"30","g00429","scaffold_1",1987965,1989000,0.13,"+",".","MYB transcription factor 32-1","ahrd-qc=***",1035,"AT4G34990",62.3698231773236,0.947152227177896,0.346470547564925,2.7337164265035,0.00626239521954029,0.0397712024420918
"31","g00430","scaffold_1",1991245,1993789,0.28,"+",".","Subtilisin-like protease","ahrd-qc=***",2544,"AT4G34980",921.558795781468,-0.537453882072313,0.179524792753726,-2.99375854347648,0.00275563926356427,0.0202354405622928
"32","g00432","scaffold_1",2000466,2002620,0.09,"-",".","Peptidyl-prolyl cis-trans isomerase","ahrd-qc=***",2154,"AT4G34960",298.289694689439,-0.931535795547727,0.178376297822099,-5.22230703810648,1.76707654255566e-07,3.72287864028602e-06
"33","g00436","scaffold_1",2023636,2029980,0.15,"-",".","ATP dependent RNA helicase","ahrd-qc=***",6344,"AT4G34910",397.277768316192,0.613443747083245,0.174398399349701,3.51748496184977,0.000435657035112434,0.00424524517477328
"34","g00439","scaffold_1",2043389,2044150,0.7,"-",".","Peptidyl-prolyl cis-trans isomerase","ahrd-qc=***",761,"AT4G34870",2852.59641638713,-0.560916242890029,0.184622326748392,-3.03818207022414,0.00238010104382722,0.017918240441558
"35","g00449","scaffold_1",2077541,2081330,0.07,"-",".","Auxin-responsive protein SAUR20","ahrd-qc=***",3789,"AT4G34770",105.932633246038,10.065138084174,1.22712086139413,8.20223859020617,2.35951415630217e-16,1.77792580210012e-14
"36","g00451","scaffold_1",2093715,2094367,0.21,"+",".","Auxin-responsive protein SAUR15","ahrd-qc=***",652,"AT4G34760",22.324264828103,1.83902922262841,0.532757680684856,3.45190560230751,0.000556642432735758,0.00526669378665371
"37","g00470","scaffold_1",2197027,2200721,0.1,"-",".","Sec14p-like phosphatidylinositol transfer family protein","ahrd-qc=***",3694,"AT4G34580",940.493354982043,-1.10065024452819,0.246538385594172,-4.46441734367472,8.02869349863944e-06,0.000123064127836201
